# Cry of Fear: Enhanced - French strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\french.
english	translation	where
Cry of Fear uses five shared save slots. Turn on "Pause menu saves" in Options > Game to save from this menu.	Cry of Fear utilise cinq emplacements partagés. Activez « Sauvegarde depuis la pause » dans Options > Jeu pour sauvegarder ici.	menus/SaveLoad.cpp:79
Cry of Fear uses five shared save slots. Enable pause-menu saves to save from this menu.	Cry of Fear utilise cinq emplacements partagés. Activez la sauvegarde depuis la pause pour sauvegarder ici.	menus/SaveLoad.cpp:81
During play, you can quickly save your game by pressing %s.\nLoad this game again by pressing %s.	En jeu, sauvegardez rapidement avec %s.\nRechargez cette partie avec %s.	menus/SaveLoad.cpp:84
SAVE / LOAD	SAUVEGARDER / CHARGER	menus/SaveLoad.cpp:98
Select a saved game in the list below, then click 'Load game'.	Choisissez une sauvegarde dans la liste, puis cliquez sur « Charger une partie ».	menus/SaveLoad.cpp:100;menus/SaveLoad.cpp:138
Select 'New Saved Game' in the list to create a new file, or select\na previously saved game to overwrite a file.	Choisissez « Nouvelle sauvegarde » pour créer un fichier, ou une\nsauvegarde existante pour l'écraser.	menus/SaveLoad.cpp:107;menus/SaveLoad.cpp:139
Enable pause-menu saves	Activer la sauvegarde depuis la pause	menus/SaveLoad.cpp:185;menus/SaveLoad.cpp:188
Invalid maxplayers value entered.\nPlease enter a value from 2 to %d.	Nombre de joueurs invalide.\nEntrez une valeur de 2 à %d.	menus/CreateGame.cpp:122
< Random Map >	< Carte aléatoire >	menus/CreateGame.cpp:181
Use NAT Bypass instead of direct mode	Contourner le NAT au lieu de la connexion directe	menus/CreateGame.cpp:221
HOST SERVER	HÉBERGER UN SERVEUR	menus/CreateGame.cpp:226
Adv. Options	Avancé	menus/CreateGame.cpp:231;menus/ConnectionWarning.cpp:69
START SERVER	LANCER LE SERVEUR	menus/CreateGame.cpp:240
Map	Carte	menus/CreateGame.cpp:249;menus/ServerBrowser.cpp:1214
Title	Titre	menus/CreateGame.cpp:250
Server name	Nom du serveur	menus/CreateGame.cpp:253
Max. Players:	Joueurs max. :	menus/CreateGame.cpp:264
Password	Mot de passe	menus/CreateGame.cpp:291;menus/ServerBrowser.cpp:1246
Starting a new game will exit any current game, OK to exit?	Une nouvelle partie va quitter la partie en cours. Continuer ?	menus/CreateGame.cpp:303
Invalid protocol while generating dummy info string	Protocole invalide lors de la création des infos du serveur	menus/ServerBrowser.cpp:170
%.f ms	%.f ms	menus/ServerBrowser.cpp:520
any map	toute carte	menus/ServerBrowser.cpp:684;menus/ServerBrowser.cpp:826;menus/ServerBrowser.cpp:1359
Favorite	Favori	menus/ServerBrowser.cpp:811;menus/ServerBrowser.cpp:1161;menus/ServerBrowser.cpp:1197
Unfavorite	Retirer des favoris	menus/ServerBrowser.cpp:816
Invalid address	Adresse invalide	menus/ServerBrowser.cpp:1052
Invalid protocol	Protocole invalide	menus/ServerBrowser.cpp:1067
Server already in favorites	Serveur déjà dans les favoris	menus/ServerBrowser.cpp:1079
JOIN SERVER	REJOINDRE UN SERVEUR	menus/ServerBrowser.cpp:1153
View game info	Infos de la partie	menus/ServerBrowser.cpp:1162;menus/ServerBrowser.cpp:1196
Create Server	Créer un serveur	menus/ServerBrowser.cpp:1164;menus/ServerBrowser.cpp:1186
Refresh	Actualiser	menus/ServerBrowser.cpp:1174;menus/ServerBrowser.cpp:1198
Add server	Ajouter un serveur	menus/ServerBrowser.cpp:1175;menus/ServerBrowser.cpp:1199
Join	Rejoindre	menus/ServerBrowser.cpp:1178
Join game	Rejoindre la partie	menus/ServerBrowser.cpp:1183
Join a network game will exit any current game, OK to exit?	Rejoindre une partie en réseau va quitter la partie en cours. Continuer ?	menus/ServerBrowser.cpp:1204
Name	Nom	menus/ServerBrowser.cpp:1213
Players	Joueurs	menus/ServerBrowser.cpp:1215
Ping	Ping	menus/ServerBrowser.cpp:1216
IP	IP	menus/ServerBrowser.cpp:1217
Direct	Direct	menus/ServerBrowser.cpp:1225
NAT	NAT	menus/ServerBrowser.cpp:1226
Favorites	Favoris	menus/ServerBrowser.cpp:1227
History	Historique	menus/ServerBrowser.cpp:1228
Please enter a password	Veuillez entrer un mot de passe	menus/ServerBrowser.cpp:1268
Enter server Internet address\n(e.g., 209.255.10.255:27015)	Entrez l'adresse Internet du serveur\n(par ex. 209.255.10.255:27015)	menus/ServerBrowser.cpp:1291
ping	ping	menus/ServerBrowser.cpp:1304
empty	vide	menus/ServerBrowser.cpp:1321
not empty	non vide	menus/ServerBrowser.cpp:1322
any	tous	menus/ServerBrowser.cpp:1323;menus/ServerBrowser.cpp:1342
full	plein	menus/ServerBrowser.cpp:1340
not full	non plein	menus/ServerBrowser.cpp:1341
%.f ms.	%.f ms.	menus/ServerInfo.cpp:261
Server hostname:	Nom du serveur :	menus/ServerInfo.cpp:394
Server IP address:	Adresse IP du serveur :	menus/ServerInfo.cpp:405
Server 'ping' time:	Ping du serveur :	menus/ServerInfo.cpp:416
??? ms.	??? ms.	menus/ServerInfo.cpp:421
Player Name	Joueur	menus/ServerInfo.cpp:434
Kills	Victimes	menus/ServerInfo.cpp:435
Server Rule	Règle du serveur	menus/ServerInfo.cpp:440
Value	Valeur	menus/ServerInfo.cpp:441
Precaching resources...	Chargement des ressources...	menus/ConnectionProgress.cpp:59
Downloading %s \nfrom %s	Téléchargement de %s \ndepuis %s	menus/ConnectionProgress.cpp:73
%d of %d %s	%d sur %d %s	menus/ConnectionProgress.cpp:74
Starting local game server...	Lancement du serveur local...	menus/ConnectionProgress.cpp:84;menus/ConnectionProgress.cpp:105;menus/ConnectionProgress.cpp:109
Establishing network connection to server...	Connexion au serveur...	menus/ConnectionProgress.cpp:90;menus/ConnectionProgress.cpp:114
Disconnected	Déconnecté	menus/ConnectionProgress.cpp:197
Skip	Passer	menus/ConnectionProgress.cpp:248
Changing level on server	Changement de carte sur le serveur	menus/ConnectionProgress.cpp:390
Parsing server info...	Lecture des infos du serveur...	menus/ConnectionProgress.cpp:401
Normal internet connection	Connexion Internet normale	menus/ConnectionWarning.cpp:46
DSL or PPTP with limited packet size	DSL ou PPTP à taille de paquet limitée	menus/ConnectionWarning.cpp:51
Slow connection mode (64kbps)	Connexion lente (64 kbit/s)	menus/ConnectionWarning.cpp:56
Connection problem	Problème de connexion	menus/ConnectionWarning.cpp:81
Too many lost packets while connecting!\nPlease select network settings	Trop de paquets perdus pendant la connexion !\nChoisissez vos réglages réseau	menus/ConnectionWarning.cpp:85
NOTICE	AVIS	controls/YesNoMessageBox.cpp:30;controls/MessageBox.cpp:25
CONFIRM	CONFIRMATION	controls/YesNoMessageBox.cpp:30
Built-in touch actions	Actions tactiles intégrées	model/KbActListModel.h:246
Look (touchpad)	Regarder (pavé tactile)	model/KbActListModel.h:248
Move (joystick)	Se déplacer (joystick)	model/KbActListModel.h:249
Move (centered joystick)	Se déplacer (joystick centré)	model/KbActListModel.h:250
Move (D-Pad)	Se déplacer (croix directionnelle)	model/KbActListModel.h:251
Vertical wheel	Molette verticale	model/KbActListModel.h:252
Horizontal wheel	Molette horizontale	model/KbActListModel.h:253
CONTROLS - MOVEMENT	COMMANDES - DÉPLACEMENT	gfx/shell/kb_act.lst:2
Move forward	Avancer	gfx/shell/kb_act.lst:4
Move back	Reculer	gfx/shell/kb_act.lst:5
Run left	Aller à gauche	gfx/shell/kb_act.lst:6
Run right	Aller à droite	gfx/shell/kb_act.lst:7
Sprint	Sprinter	gfx/shell/kb_act.lst:8
Dodge	Esquiver	gfx/shell/kb_act.lst:9
Jump	Sauter	gfx/shell/kb_act.lst:10
Crouch	S'accroupir	gfx/shell/kb_act.lst:11
CONTROLS - WEAPONS/ITEMS	COMMANDES - ARMES/OBJETS	gfx/shell/kb_act.lst:13
Pickup/Interact with items	Ramasser/Utiliser	gfx/shell/kb_act.lst:15
Primary Attack	Attaque principale	gfx/shell/kb_act.lst:16
Secondary Attack	Attaque secondaire	gfx/shell/kb_act.lst:17
Tertiary Attack	Viser (attaque tertiaire)	gfx/shell/kb_act.lst:18
Toggle weapon function	Changer le mode de l'arme	gfx/shell/kb_act.lst:19
Reload	Recharger	gfx/shell/kb_act.lst:20
Inventory	Inventaire	gfx/shell/kb_act.lst:21
See current objective	Voir l'objectif actuel	gfx/shell/kb_act.lst:22
Quick slot 1	Emplacement rapide 1	gfx/shell/kb_act.lst:23
Quick slot 2	Emplacement rapide 2	gfx/shell/kb_act.lst:24
Quick slot 3	Emplacement rapide 3	gfx/shell/kb_act.lst:25
Flashlight (coop only)	Lampe torche (coop uniquement)	gfx/shell/kb_act.lst:26
CONTROLS - MISC	COMMANDES - DIVERS	gfx/shell/kb_act.lst:28
Use voice chat (coop only)	Chat vocal (coop uniquement)	gfx/shell/kb_act.lst:30
Vote yes on votekick (coop only)	Voter pour l'exclusion (coop uniquement)	gfx/shell/kb_act.lst:31
Vote no on votekick (coop only)	Voter contre l'exclusion (coop uniquement)	gfx/shell/kb_act.lst:32
Follow me! (coop only)	Suivez-moi ! (coop uniquement)	gfx/shell/kb_act.lst:33
Help me! (coop only)	À l'aide ! (coop uniquement)	gfx/shell/kb_act.lst:34
Found something! (coop only)	J'ai trouvé un truc ! (coop uniquement)	gfx/shell/kb_act.lst:35
Chat message	Message de chat	gfx/shell/kb_act.lst:36
Take screenshot	Capture d'écran	gfx/shell/kb_act.lst:37
Pause game	Pause	gfx/shell/kb_act.lst:38
Quit game	Quitter le jeu	gfx/shell/kb_act.lst:39
Pause Save (%s)	Pause (%s)	engine/server/sv_save.c (title of a pause-menu save, in the Load list)
DISCONNECT	DÉCONNEXION	menus/Main.cpp:247
Leave the co-op game and return to the main menu?	Quitter la partie coop et revenir au menu principal ?	menus/Main.cpp:249
Join a co-op game by address or on the local network	Rejoindre une partie coop par adresse ou en réseau local	menus/Main.cpp:511
Host a co-op game: story, Manhunt or survival	Héberger une partie coop : histoire, Manhunt ou survie	menus/Main.cpp:516
Leave the co-op game and return to the main menu	Quitter la partie coop et revenir au menu principal	menus/Main.cpp:681
Player	Joueur	menus/CoFCoop.cpp:175
Story co-op	Histoire en coop	menus/CoFCoop.cpp:207
Chapters 9 to 12, starting with "Where is Simon?".\nLobby: everyone gets ready, or the autostart time runs out.	Chapitres 9 à 12, à partir de « Where is Simon? ».\nSalon : tout le monde est prêt ou le délai de lancement expire.	menus/CoFCoop.cpp:208
Manhunt	Manhunt	menus/CoFCoop.cpp:209
The Manhunt campaign, from "A new beginning" to the cabin.\nLobby: everyone gets ready, or the autostart time runs out.	La campagne Manhunt, de « A new beginning » jusqu'à la cabane.\nSalon : tout le monde est prêt ou le délai de lancement expire.	menus/CoFCoop.cpp:210
Survival 1	Survie 1	menus/CoFCoop.cpp:211
Survive for 30 minutes. No lobby: the game starts at once.\nThe next survival map follows.	Survivez 30 minutes. Pas de salon : la partie démarre aussitôt.\nLa carte de survie suivante enchaîne.	menus/CoFCoop.cpp:212;menus/CoFCoop.cpp:214;menus/CoFCoop.cpp:216
Survival 2	Survie 2	menus/CoFCoop.cpp:213
Survival 3	Survie 3	menus/CoFCoop.cpp:215
Survival 4	Survie 4	menus/CoFCoop.cpp:217
Survive for 30 minutes. No lobby: the game starts at once.\nThe first survival map follows.	Survivez 30 minutes. Pas de salon : la partie démarre aussitôt.\nOn revient ensuite à la première carte de survie.	menus/CoFCoop.cpp:218
Host co-op	Héberger en coop	menus/CoFCoop.cpp:346
HOST CO-OP	HÉBERGER EN COOP	menus/CoFCoop.cpp:349
Your name	Votre nom	menus/CoFCoop.cpp:362;menus/CoFCoop.cpp:668
Shown in the lobby and on the co-op player list	Affiché dans le salon et dans la liste des joueurs coop	menus/CoFCoop.cpp:364;menus/CoFCoop.cpp:670
The name of this game in server lists	Nom de cette partie dans les listes de serveurs	menus/CoFCoop.cpp:368
Empty for an open game; never saved	Vide pour une partie ouverte ; jamais enregistré	menus/CoFCoop.cpp:373
LAN only	LAN uniquement	menus/CoFCoop.cpp:375
Only players on the local network can join	Seuls les joueurs du réseau local peuvent rejoindre	menus/CoFCoop.cpp:376
Difficulty	Difficulté	menus/CoFCoop.cpp:378
Nightmare appears once it is unlocked	Cauchemar apparaît une fois débloqué	menus/CoFCoop.cpp:381
Most players, you included (four slots)	Nombre maximal de joueurs, vous compris (quatre places)	menus/CoFCoop.cpp:387
Lobby autostart (seconds)	Lancement auto du salon (secondes)	menus/CoFCoop.cpp:389
Start even if not all are ready; 0 = wait	Lancer même si tous ne sont pas prêts ; 0 = attendre	menus/CoFCoop.cpp:393
Auto respawn (seconds)	Réapparition auto (secondes)	menus/CoFCoop.cpp:395
Dead players come back after this long	Délai avant le retour des joueurs morts	menus/CoFCoop.cpp:398
Start the server on this campaign	Lancer le serveur sur cette campagne	menus/CoFCoop.cpp:417
No co-op map is installed.	Aucune carte coop n'est installée.	menus/CoFCoop.cpp:471
Join co-op	Rejoindre en coop	menus/CoFCoop.cpp:659
JOIN CO-OP	REJOINDRE EN COOP	menus/CoFCoop.cpp:662
Server address	Adresse du serveur	menus/CoFCoop.cpp:664
IP or host name, optionally :port	IP ou nom d'hôte, :port en option	menus/CoFCoop.cpp:666
Ask the host for their address. The default port is 27015; over the Internet the host has to forward UDP 27015 to their computer.	Demandez son adresse à l'hôte. Le port par défaut est 27015 ; via Internet, l'hôte doit rediriger UDP 27015 vers son ordinateur.	menus/CoFCoop.cpp:675
LAN servers	Serveurs LAN	menus/CoFCoop.cpp:685
Servers on the local network	Serveurs du réseau local	menus/CoFCoop.cpp:685
Connect	Se connecter	menus/CoFCoop.cpp:689
Connect to this address	Se connecter à cette adresse	menus/CoFCoop.cpp:689
