# Cry of Fear: Enhanced - Norwegian (Bokmål) strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\norwegian.
english	translation	where
Cry of Fear uses five shared save slots. Turn on "Pause menu saves" in Options > Game to save from this menu.	Cry of Fear bruker fem delte lagringsplasser. Slå på «Lagring fra pausemenyen» under Innstillinger > Spill for å lagre her.	menus/SaveLoad.cpp:79
Cry of Fear uses five shared save slots. Enable pause-menu saves to save from this menu.	Cry of Fear bruker fem delte lagringsplasser. Slå på lagring fra pausemenyen for å lagre her.	menus/SaveLoad.cpp:81
During play, you can quickly save your game by pressing %s.\nLoad this game again by pressing %s.	Under spillet lagrer du raskt med %s.\nMed %s laster du inn dette spillet igjen.	menus/SaveLoad.cpp:84
SAVE / LOAD	LAGRE / LAST INN	menus/SaveLoad.cpp:98
Select a saved game in the list below, then click 'Load game'.	Velg et lagret spill i listen og klikk på «Last inn spill».	menus/SaveLoad.cpp:100;menus/SaveLoad.cpp:138
Select 'New Saved Game' in the list to create a new file, or select\na previously saved game to overwrite a file.	Velg «Nytt lagret spill» for å lage en ny fil, eller velg\net eksisterende lagret spill for å overskrive det.	menus/SaveLoad.cpp:107;menus/SaveLoad.cpp:139
Enable pause-menu saves	Slå på lagring fra pausemenyen	menus/SaveLoad.cpp:185;menus/SaveLoad.cpp:188
Invalid maxplayers value entered.\nPlease enter a value from 2 to %d.	Ugyldig antall spillere.\nSkriv inn en verdi fra 2 til %d.	menus/CreateGame.cpp:122
< Random Map >	< Tilfeldig kart >	menus/CreateGame.cpp:181
Use NAT Bypass instead of direct mode	Bruk NAT-omgåelse i stedet for direkte tilkobling	menus/CreateGame.cpp:221
HOST SERVER	START SERVER	menus/CreateGame.cpp:226
Adv. Options	Avansert	menus/CreateGame.cpp:231;menus/ConnectionWarning.cpp:69
START SERVER	START SERVEREN	menus/CreateGame.cpp:240
Map	Kart	menus/CreateGame.cpp:249;menus/ServerBrowser.cpp:1214
Title	Tittel	menus/CreateGame.cpp:250
Server name	Servernavn	menus/CreateGame.cpp:253
Max. Players:	Maks. spillere:	menus/CreateGame.cpp:264
Password	Passord	menus/CreateGame.cpp:291;menus/ServerBrowser.cpp:1246
Starting a new game will exit any current game, OK to exit?	Et nytt spill avslutter det pågående. Fortsette?	menus/CreateGame.cpp:303
Invalid protocol while generating dummy info string	Ugyldig protokoll under oppretting av serverdata	menus/ServerBrowser.cpp:170
%.f ms	%.f ms	menus/ServerBrowser.cpp:520
any map	hvilket som helst kart	menus/ServerBrowser.cpp:684;menus/ServerBrowser.cpp:826;menus/ServerBrowser.cpp:1359
Favorite	Favoritt	menus/ServerBrowser.cpp:811;menus/ServerBrowser.cpp:1161;menus/ServerBrowser.cpp:1197
Unfavorite	Fjern fra favoritter	menus/ServerBrowser.cpp:816
Invalid address	Ugyldig adresse	menus/ServerBrowser.cpp:1052
Invalid protocol	Ugyldig protokoll	menus/ServerBrowser.cpp:1067
Server already in favorites	Serveren er allerede i favoritter	menus/ServerBrowser.cpp:1079
JOIN SERVER	BLI MED PÅ SERVER	menus/ServerBrowser.cpp:1153
View game info	Vis spillinfo	menus/ServerBrowser.cpp:1162;menus/ServerBrowser.cpp:1196
Create Server	Opprett server	menus/ServerBrowser.cpp:1164;menus/ServerBrowser.cpp:1186
Refresh	Oppdater	menus/ServerBrowser.cpp:1174;menus/ServerBrowser.cpp:1198
Add server	Legg til server	menus/ServerBrowser.cpp:1175;menus/ServerBrowser.cpp:1199
Join	Bli med	menus/ServerBrowser.cpp:1178
Join game	Bli med i spillet	menus/ServerBrowser.cpp:1183
Join a network game will exit any current game, OK to exit?	Å bli med i et nettverksspill avslutter det pågående. Fortsette?	menus/ServerBrowser.cpp:1204
Name	Navn	menus/ServerBrowser.cpp:1213
Players	Spillere	menus/ServerBrowser.cpp:1215
Ping	Ping	menus/ServerBrowser.cpp:1216
IP	IP	menus/ServerBrowser.cpp:1217
Direct	Direkte	menus/ServerBrowser.cpp:1225
NAT	NAT	menus/ServerBrowser.cpp:1226
Favorites	Favoritter	menus/ServerBrowser.cpp:1227
History	Historikk	menus/ServerBrowser.cpp:1228
Please enter a password	Skriv inn et passord	menus/ServerBrowser.cpp:1268
Enter server Internet address\n(e.g., 209.255.10.255:27015)	Skriv inn serverens Internett-adresse\n(f.eks. 209.255.10.255:27015)	menus/ServerBrowser.cpp:1291
ping	ping	menus/ServerBrowser.cpp:1304
empty	tom	menus/ServerBrowser.cpp:1321
not empty	ikke tom	menus/ServerBrowser.cpp:1322
any	alle	menus/ServerBrowser.cpp:1323;menus/ServerBrowser.cpp:1342
full	full	menus/ServerBrowser.cpp:1340
not full	ikke full	menus/ServerBrowser.cpp:1341
%.f ms.	%.f ms.	menus/ServerInfo.cpp:261
Server hostname:	Servernavn:	menus/ServerInfo.cpp:394
Server IP address:	Serverens IP-adresse:	menus/ServerInfo.cpp:405
Server 'ping' time:	Serverens ping:	menus/ServerInfo.cpp:416
??? ms.	??? ms.	menus/ServerInfo.cpp:421
Player Name	Spillernavn	menus/ServerInfo.cpp:434
Kills	Drap	menus/ServerInfo.cpp:435
Server Rule	Serverregel	menus/ServerInfo.cpp:440
Value	Verdi	menus/ServerInfo.cpp:441
Precaching resources...	Laster inn ressurser...	menus/ConnectionProgress.cpp:59
Downloading %s \nfrom %s	Laster ned %s \nfra %s	menus/ConnectionProgress.cpp:73
%d of %d %s	%d av %d %s	menus/ConnectionProgress.cpp:74
Starting local game server...	Starter lokal spillserver...	menus/ConnectionProgress.cpp:84;menus/ConnectionProgress.cpp:105;menus/ConnectionProgress.cpp:109
Establishing network connection to server...	Kobler til serveren...	menus/ConnectionProgress.cpp:90;menus/ConnectionProgress.cpp:114
Disconnected	Frakoblet	menus/ConnectionProgress.cpp:197
Skip	Hopp over	menus/ConnectionProgress.cpp:248
Changing level on server	Serveren bytter kart	menus/ConnectionProgress.cpp:390
Parsing server info...	Leser serverinfo...	menus/ConnectionProgress.cpp:401
Normal internet connection	Vanlig Internett-tilkobling	menus/ConnectionWarning.cpp:46
DSL or PPTP with limited packet size	DSL eller PPTP med begrenset pakkestørrelse	menus/ConnectionWarning.cpp:51
Slow connection mode (64kbps)	Treg tilkobling (64 kbps)	menus/ConnectionWarning.cpp:56
Connection problem	Tilkoblingsproblem	menus/ConnectionWarning.cpp:81
Too many lost packets while connecting!\nPlease select network settings	For mange tapte pakker under tilkobling!\nVelg nettverksinnstillinger	menus/ConnectionWarning.cpp:85
NOTICE	MERK	controls/YesNoMessageBox.cpp:30;controls/MessageBox.cpp:25
CONFIRM	BEKREFT	controls/YesNoMessageBox.cpp:30
Built-in touch actions	Innebygde berøringshandlinger	model/KbActListModel.h:246
Look (touchpad)	Se (styreflate)	model/KbActListModel.h:248
Move (joystick)	Beveg (styrespak)	model/KbActListModel.h:249
Move (centered joystick)	Beveg (sentrert styrespak)	model/KbActListModel.h:250
Move (D-Pad)	Beveg (retningsknapper)	model/KbActListModel.h:251
Vertical wheel	Loddrett hjul	model/KbActListModel.h:252
Horizontal wheel	Vannrett hjul	model/KbActListModel.h:253
CONTROLS - MOVEMENT	KONTROLLER - BEVEGELSE	gfx/shell/kb_act.lst:2
Move forward	Fremover	gfx/shell/kb_act.lst:4
Move back	Bakover	gfx/shell/kb_act.lst:5
Run left	Til venstre	gfx/shell/kb_act.lst:6
Run right	Til høyre	gfx/shell/kb_act.lst:7
Sprint	Spurt	gfx/shell/kb_act.lst:8
Dodge	Unnvik	gfx/shell/kb_act.lst:9
Jump	Hopp	gfx/shell/kb_act.lst:10
Crouch	Huk deg	gfx/shell/kb_act.lst:11
CONTROLS - WEAPONS/ITEMS	KONTROLLER - VÅPEN/GJENSTANDER	gfx/shell/kb_act.lst:13
Pickup/Interact with items	Plukk opp/Bruk	gfx/shell/kb_act.lst:15
Primary Attack	Primærangrep	gfx/shell/kb_act.lst:16
Secondary Attack	Sekundærangrep	gfx/shell/kb_act.lst:17
Tertiary Attack	Sikt (tertiærangrep)	gfx/shell/kb_act.lst:18
Toggle weapon function	Bytt våpenfunksjon	gfx/shell/kb_act.lst:19
Reload	Lad om	gfx/shell/kb_act.lst:20
Inventory	Inventar	gfx/shell/kb_act.lst:21
See current objective	Vis nåværende mål	gfx/shell/kb_act.lst:22
Quick slot 1	Hurtigplass 1	gfx/shell/kb_act.lst:23
Quick slot 2	Hurtigplass 2	gfx/shell/kb_act.lst:24
Quick slot 3	Hurtigplass 3	gfx/shell/kb_act.lst:25
Flashlight (coop only)	Lommelykt (bare co-op)	gfx/shell/kb_act.lst:26
CONTROLS - MISC	KONTROLLER - DIVERSE	gfx/shell/kb_act.lst:28
Use voice chat (coop only)	Talechat (bare co-op)	gfx/shell/kb_act.lst:30
Vote yes on votekick (coop only)	Stem ja til utkasting (bare co-op)	gfx/shell/kb_act.lst:31
Vote no on votekick (coop only)	Stem nei til utkasting (bare co-op)	gfx/shell/kb_act.lst:32
Follow me! (coop only)	Følg meg! (bare co-op)	gfx/shell/kb_act.lst:33
Help me! (coop only)	Hjelp! (bare co-op)	gfx/shell/kb_act.lst:34
Found something! (coop only)	Fant noe! (bare co-op)	gfx/shell/kb_act.lst:35
Chat message	Chatmelding	gfx/shell/kb_act.lst:36
Take screenshot	Ta skjermbilde	gfx/shell/kb_act.lst:37
Pause game	Pause	gfx/shell/kb_act.lst:38
Quit game	Avslutt spillet	gfx/shell/kb_act.lst:39
Pause Save (%s)	Pause (%s)	engine/server/sv_save.c (title of a pause-menu save, in the Load list)
DISCONNECT	KOBLE FRA	menus/Main.cpp:247
Leave the co-op game and return to the main menu?	Forlate co-op-spillet og gå tilbake til hovedmenyen?	menus/Main.cpp:249
Join a co-op game by address or on the local network	Bli med i et co-op-spill via adresse eller i lokalnettet	menus/Main.cpp:511
Host a co-op game: story, Manhunt or survival	Start et co-op-spill: historie, Manhunt eller overlevelse	menus/Main.cpp:516
Leave the co-op game and return to the main menu	Forlat co-op-spillet og gå tilbake til hovedmenyen	menus/Main.cpp:681
Player	Spiller	menus/CoFCoop.cpp:175
Story co-op	Historie i co-op	menus/CoFCoop.cpp:207
Chapters 9 to 12, starting with "Where is Simon?".\nLobby: everyone gets ready, or the autostart time runs out.	Kapittel 9 til 12, fra «Where is Simon?».\nLobby: alle er klare, eller autostarttiden går ut.	menus/CoFCoop.cpp:208
Manhunt	Manhunt	menus/CoFCoop.cpp:209
The Manhunt campaign, from "A new beginning" to the cabin.\nLobby: everyone gets ready, or the autostart time runs out.	Manhunt-kampanjen, fra «A new beginning» til hytta.\nLobby: alle er klare, eller autostarttiden går ut.	menus/CoFCoop.cpp:210
Survival 1	Overlevelse 1	menus/CoFCoop.cpp:211
Survive for 30 minutes. No lobby: the game starts at once.\nThe next survival map follows.	Overlev i 30 minutter. Ingen lobby: spillet starter med en gang.\nDeretter kommer neste overlevelseskart.	menus/CoFCoop.cpp:212;menus/CoFCoop.cpp:214;menus/CoFCoop.cpp:216
Survival 2	Overlevelse 2	menus/CoFCoop.cpp:213
Survival 3	Overlevelse 3	menus/CoFCoop.cpp:215
Survival 4	Overlevelse 4	menus/CoFCoop.cpp:217
Survive for 30 minutes. No lobby: the game starts at once.\nThe first survival map follows.	Overlev i 30 minutter. Ingen lobby: spillet starter med en gang.\nDeretter kommer det første overlevelseskartet igjen.	menus/CoFCoop.cpp:218
Host co-op	Start co-op	menus/CoFCoop.cpp:346
HOST CO-OP	START CO-OP	menus/CoFCoop.cpp:349
Your name	Navnet ditt	menus/CoFCoop.cpp:362;menus/CoFCoop.cpp:668
Shown in the lobby and on the co-op player list	Vises i lobbyen og på co-op-spillerlisten	menus/CoFCoop.cpp:364;menus/CoFCoop.cpp:670
The name of this game in server lists	Navnet på dette spillet i serverlister	menus/CoFCoop.cpp:368
Empty for an open game; never saved	Tomt for et åpent spill; lagres aldri	menus/CoFCoop.cpp:373
LAN only	Bare LAN	menus/CoFCoop.cpp:375
Only players on the local network can join	Bare spillere i lokalnettet kan bli med	menus/CoFCoop.cpp:376
Difficulty	Vanskelighetsgrad	menus/CoFCoop.cpp:378
Nightmare appears once it is unlocked	Mareritt vises når det er låst opp	menus/CoFCoop.cpp:381
Most players, you included (four slots)	Flest spillere, deg selv medregnet (fire plasser)	menus/CoFCoop.cpp:387
Lobby autostart (seconds)	Autostart i lobbyen (sekunder)	menus/CoFCoop.cpp:389
Start even if not all are ready; 0 = wait	Start selv om ikke alle er klare; 0 = vent	menus/CoFCoop.cpp:393
Auto respawn (seconds)	Automatisk gjenoppstandelse (sekunder)	menus/CoFCoop.cpp:395
Dead players come back after this long	Så lenge går det før døde spillere kommer tilbake	menus/CoFCoop.cpp:398
Start the server on this campaign	Start serveren med denne kampanjen	menus/CoFCoop.cpp:417
No co-op map is installed.	Ingen co-op-kart er installert.	menus/CoFCoop.cpp:471
Join co-op	Bli med i co-op	menus/CoFCoop.cpp:659
JOIN CO-OP	BLI MED I CO-OP	menus/CoFCoop.cpp:662
Server address	Serveradresse	menus/CoFCoop.cpp:664
IP or host name, optionally :port	IP eller vertsnavn, eventuelt med :port	menus/CoFCoop.cpp:666
Ask the host for their address. The default port is 27015; over the Internet the host has to forward UDP 27015 to their computer.	Be verten om adressen. Standardporten er 27015; over Internett må verten videresende UDP 27015 til datamaskinen sin.	menus/CoFCoop.cpp:675
LAN servers	LAN-servere	menus/CoFCoop.cpp:685
Servers on the local network	Servere i lokalnettet	menus/CoFCoop.cpp:685
Connect	Koble til	menus/CoFCoop.cpp:689
Connect to this address	Koble til denne adressen	menus/CoFCoop.cpp:689
