# Cry of Fear: Enhanced - Swedish strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\swedish.
english	translation	where
Cry of Fear uses five shared save slots. Turn on "Pause menu saves" in Options > Game to save from this menu.	Cry of Fear använder fem delade sparplatser. Slå på ”Spara från pausmenyn” under Inställningar > Spel för att spara här.	menus/SaveLoad.cpp:79
Cry of Fear uses five shared save slots. Enable pause-menu saves to save from this menu.	Cry of Fear använder fem delade sparplatser. Slå på sparande från pausmenyn för att spara här.	menus/SaveLoad.cpp:81
During play, you can quickly save your game by pressing %s.\nLoad this game again by pressing %s.	Under spelet snabbsparar du med %s.\nMed %s läser du in det här spelet igen.	menus/SaveLoad.cpp:84
SAVE / LOAD	SPARA / LÄS IN	menus/SaveLoad.cpp:98
Select a saved game in the list below, then click 'Load game'.	Välj ett sparat spel i listan och klicka på ”Läs in spel”.	menus/SaveLoad.cpp:100;menus/SaveLoad.cpp:138
Select 'New Saved Game' in the list to create a new file, or select\na previously saved game to overwrite a file.	Välj ”Nytt sparat spel” för att skapa en ny fil, eller välj\nett befintligt sparat spel för att skriva över det.	menus/SaveLoad.cpp:107;menus/SaveLoad.cpp:139
Enable pause-menu saves	Slå på sparande från pausmenyn	menus/SaveLoad.cpp:185;menus/SaveLoad.cpp:188
Invalid maxplayers value entered.\nPlease enter a value from 2 to %d.	Ogiltigt antal spelare.\nAnge ett värde från 2 till %d.	menus/CreateGame.cpp:122
< Random Map >	< Slumpad karta >	menus/CreateGame.cpp:181
Use NAT Bypass instead of direct mode	Använd NAT-förbikoppling i stället för direktanslutning	menus/CreateGame.cpp:221
HOST SERVER	STARTA SERVER	menus/CreateGame.cpp:226
Adv. Options	Avancerat	menus/CreateGame.cpp:231;menus/ConnectionWarning.cpp:69
START SERVER	STARTA SERVERN	menus/CreateGame.cpp:240
Map	Karta	menus/CreateGame.cpp:249;menus/ServerBrowser.cpp:1214
Title	Titel	menus/CreateGame.cpp:250
Server name	Servernamn	menus/CreateGame.cpp:253
Max. Players:	Max. spelare:	menus/CreateGame.cpp:264
Password	Lösenord	menus/CreateGame.cpp:291;menus/ServerBrowser.cpp:1246
Starting a new game will exit any current game, OK to exit?	Ett nytt spel avslutar det pågående. Fortsätta?	menus/CreateGame.cpp:303
Invalid protocol while generating dummy info string	Ogiltigt protokoll när serverdata skapades	menus/ServerBrowser.cpp:170
%.f ms	%.f ms	menus/ServerBrowser.cpp:520
any map	valfri karta	menus/ServerBrowser.cpp:684;menus/ServerBrowser.cpp:826;menus/ServerBrowser.cpp:1359
Favorite	Favorit	menus/ServerBrowser.cpp:811;menus/ServerBrowser.cpp:1161;menus/ServerBrowser.cpp:1197
Unfavorite	Ta bort favorit	menus/ServerBrowser.cpp:816
Invalid address	Ogiltig adress	menus/ServerBrowser.cpp:1052
Invalid protocol	Ogiltigt protokoll	menus/ServerBrowser.cpp:1067
Server already in favorites	Servern finns redan bland favoriterna	menus/ServerBrowser.cpp:1079
JOIN SERVER	ANSLUT TILL SERVER	menus/ServerBrowser.cpp:1153
View game info	Visa spelinfo	menus/ServerBrowser.cpp:1162;menus/ServerBrowser.cpp:1196
Create Server	Skapa server	menus/ServerBrowser.cpp:1164;menus/ServerBrowser.cpp:1186
Refresh	Uppdatera	menus/ServerBrowser.cpp:1174;menus/ServerBrowser.cpp:1198
Add server	Lägg till server	menus/ServerBrowser.cpp:1175;menus/ServerBrowser.cpp:1199
Join	Anslut	menus/ServerBrowser.cpp:1178
Join game	Anslut till spelet	menus/ServerBrowser.cpp:1183
Join a network game will exit any current game, OK to exit?	Att ansluta till ett nätverksspel avslutar det pågående. Fortsätta?	menus/ServerBrowser.cpp:1204
Name	Namn	menus/ServerBrowser.cpp:1213
Players	Spelare	menus/ServerBrowser.cpp:1215
Ping	Ping	menus/ServerBrowser.cpp:1216
IP	IP	menus/ServerBrowser.cpp:1217
Direct	Direkt	menus/ServerBrowser.cpp:1225
NAT	NAT	menus/ServerBrowser.cpp:1226
Favorites	Favoriter	menus/ServerBrowser.cpp:1227
History	Historik	menus/ServerBrowser.cpp:1228
Please enter a password	Ange ett lösenord	menus/ServerBrowser.cpp:1268
Enter server Internet address\n(e.g., 209.255.10.255:27015)	Ange serverns internetadress\n(t.ex. 209.255.10.255:27015)	menus/ServerBrowser.cpp:1291
ping	ping	menus/ServerBrowser.cpp:1304
empty	tom	menus/ServerBrowser.cpp:1321
not empty	inte tom	menus/ServerBrowser.cpp:1322
any	alla	menus/ServerBrowser.cpp:1323;menus/ServerBrowser.cpp:1342
full	full	menus/ServerBrowser.cpp:1340
not full	inte full	menus/ServerBrowser.cpp:1341
%.f ms.	%.f ms.	menus/ServerInfo.cpp:261
Server hostname:	Servernamn:	menus/ServerInfo.cpp:394
Server IP address:	Serverns IP-adress:	menus/ServerInfo.cpp:405
Server 'ping' time:	Serverns ping:	menus/ServerInfo.cpp:416
??? ms.	??? ms.	menus/ServerInfo.cpp:421
Player Name	Spelarnamn	menus/ServerInfo.cpp:434
Kills	Dödade	menus/ServerInfo.cpp:435
Server Rule	Serverregel	menus/ServerInfo.cpp:440
Value	Värde	menus/ServerInfo.cpp:441
Precaching resources...	Läser in resurser...	menus/ConnectionProgress.cpp:59
Downloading %s \nfrom %s	Laddar ned %s \nfrån %s	menus/ConnectionProgress.cpp:73
%d of %d %s	%d av %d %s	menus/ConnectionProgress.cpp:74
Starting local game server...	Startar lokal spelserver...	menus/ConnectionProgress.cpp:84;menus/ConnectionProgress.cpp:105;menus/ConnectionProgress.cpp:109
Establishing network connection to server...	Ansluter till servern...	menus/ConnectionProgress.cpp:90;menus/ConnectionProgress.cpp:114
Disconnected	Frånkopplad	menus/ConnectionProgress.cpp:197
Skip	Hoppa över	menus/ConnectionProgress.cpp:248
Changing level on server	Servern byter karta	menus/ConnectionProgress.cpp:390
Parsing server info...	Läser serverinfo...	menus/ConnectionProgress.cpp:401
Normal internet connection	Vanlig internetanslutning	menus/ConnectionWarning.cpp:46
DSL or PPTP with limited packet size	DSL eller PPTP med begränsad paketstorlek	menus/ConnectionWarning.cpp:51
Slow connection mode (64kbps)	Långsam anslutning (64 kbit/s)	menus/ConnectionWarning.cpp:56
Connection problem	Anslutningsproblem	menus/ConnectionWarning.cpp:81
Too many lost packets while connecting!\nPlease select network settings	För många förlorade paket vid anslutning!\nVälj nätverksinställningar	menus/ConnectionWarning.cpp:85
NOTICE	OBS	controls/YesNoMessageBox.cpp:30;controls/MessageBox.cpp:25
CONFIRM	BEKRÄFTA	controls/YesNoMessageBox.cpp:30
Built-in touch actions	Inbyggda pekhandlingar	model/KbActListModel.h:246
Look (touchpad)	Titta (pekplatta)	model/KbActListModel.h:248
Move (joystick)	Rör dig (styrspak)	model/KbActListModel.h:249
Move (centered joystick)	Rör dig (centrerad styrspak)	model/KbActListModel.h:250
Move (D-Pad)	Rör dig (styrkors)	model/KbActListModel.h:251
Vertical wheel	Lodrätt hjul	model/KbActListModel.h:252
Horizontal wheel	Vågrätt hjul	model/KbActListModel.h:253
CONTROLS - MOVEMENT	KONTROLLER - RÖRELSE	gfx/shell/kb_act.lst:2
Move forward	Framåt	gfx/shell/kb_act.lst:4
Move back	Bakåt	gfx/shell/kb_act.lst:5
Run left	Åt vänster	gfx/shell/kb_act.lst:6
Run right	Åt höger	gfx/shell/kb_act.lst:7
Sprint	Spurta	gfx/shell/kb_act.lst:8
Dodge	Undvik	gfx/shell/kb_act.lst:9
Jump	Hoppa	gfx/shell/kb_act.lst:10
Crouch	Huka	gfx/shell/kb_act.lst:11
CONTROLS - WEAPONS/ITEMS	KONTROLLER - VAPEN/FÖREMÅL	gfx/shell/kb_act.lst:13
Pickup/Interact with items	Plocka upp/Använd	gfx/shell/kb_act.lst:15
Primary Attack	Primär attack	gfx/shell/kb_act.lst:16
Secondary Attack	Sekundär attack	gfx/shell/kb_act.lst:17
Tertiary Attack	Sikta (tertiär attack)	gfx/shell/kb_act.lst:18
Toggle weapon function	Byt vapenfunktion	gfx/shell/kb_act.lst:19
Reload	Ladda om	gfx/shell/kb_act.lst:20
Inventory	Inventarie	gfx/shell/kb_act.lst:21
See current objective	Visa nuvarande mål	gfx/shell/kb_act.lst:22
Quick slot 1	Snabbplats 1	gfx/shell/kb_act.lst:23
Quick slot 2	Snabbplats 2	gfx/shell/kb_act.lst:24
Quick slot 3	Snabbplats 3	gfx/shell/kb_act.lst:25
Flashlight (coop only)	Ficklampa (bara co-op)	gfx/shell/kb_act.lst:26
CONTROLS - MISC	KONTROLLER - ÖVRIGT	gfx/shell/kb_act.lst:28
Use voice chat (coop only)	Röstchatt (bara co-op)	gfx/shell/kb_act.lst:30
Vote yes on votekick (coop only)	Rösta ja till utsparkning (bara co-op)	gfx/shell/kb_act.lst:31
Vote no on votekick (coop only)	Rösta nej till utsparkning (bara co-op)	gfx/shell/kb_act.lst:32
Follow me! (coop only)	Följ mig! (bara co-op)	gfx/shell/kb_act.lst:33
Help me! (coop only)	Hjälp! (bara co-op)	gfx/shell/kb_act.lst:34
Found something! (coop only)	Hittade något! (bara co-op)	gfx/shell/kb_act.lst:35
Chat message	Chattmeddelande	gfx/shell/kb_act.lst:36
Take screenshot	Ta skärmbild	gfx/shell/kb_act.lst:37
Pause game	Paus	gfx/shell/kb_act.lst:38
Quit game	Avsluta spelet	gfx/shell/kb_act.lst:39
Pause Save (%s)	Paus (%s)	engine/server/sv_save.c (title of a pause-menu save, in the Load list)
DISCONNECT	KOPPLA FRÅN	menus/Main.cpp:247
Leave the co-op game and return to the main menu?	Lämna co-op-spelet och gå tillbaka till huvudmenyn?	menus/Main.cpp:249
Join a co-op game by address or on the local network	Anslut till ett co-op-spel via adress eller i det lokala nätverket	menus/Main.cpp:511
Host a co-op game: story, Manhunt or survival	Starta ett co-op-spel: berättelse, Manhunt eller överlevnad	menus/Main.cpp:516
Leave the co-op game and return to the main menu	Lämna co-op-spelet och gå tillbaka till huvudmenyn	menus/Main.cpp:681
Player	Spelare	menus/CoFCoop.cpp:175
Story co-op	Berättelse i co-op	menus/CoFCoop.cpp:207
Chapters 9 to 12, starting with "Where is Simon?".\nLobby: everyone gets ready, or the autostart time runs out.	Kapitel 9 till 12, från ”Where is Simon?”.\nLobby: alla är redo eller autostarttiden går ut.	menus/CoFCoop.cpp:208
Manhunt	Manhunt	menus/CoFCoop.cpp:209
The Manhunt campaign, from "A new beginning" to the cabin.\nLobby: everyone gets ready, or the autostart time runs out.	Manhunt-kampanjen, från ”A new beginning” till stugan.\nLobby: alla är redo eller autostarttiden går ut.	menus/CoFCoop.cpp:210
Survival 1	Överlevnad 1	menus/CoFCoop.cpp:211
Survive for 30 minutes. No lobby: the game starts at once.\nThe next survival map follows.	Överlev i 30 minuter. Ingen lobby: spelet börjar direkt.\nSedan följer nästa överlevnadskarta.	menus/CoFCoop.cpp:212;menus/CoFCoop.cpp:214;menus/CoFCoop.cpp:216
Survival 2	Överlevnad 2	menus/CoFCoop.cpp:213
Survival 3	Överlevnad 3	menus/CoFCoop.cpp:215
Survival 4	Överlevnad 4	menus/CoFCoop.cpp:217
Survive for 30 minutes. No lobby: the game starts at once.\nThe first survival map follows.	Överlev i 30 minuter. Ingen lobby: spelet börjar direkt.\nSedan följer den första överlevnadskartan igen.	menus/CoFCoop.cpp:218
Host co-op	Starta co-op	menus/CoFCoop.cpp:346
HOST CO-OP	STARTA CO-OP	menus/CoFCoop.cpp:349
Your name	Ditt namn	menus/CoFCoop.cpp:362;menus/CoFCoop.cpp:668
Shown in the lobby and on the co-op player list	Visas i lobbyn och i co-op-spelarlistan	menus/CoFCoop.cpp:364;menus/CoFCoop.cpp:670
The name of this game in server lists	Namnet på det här spelet i serverlistor	menus/CoFCoop.cpp:368
Empty for an open game; never saved	Tomt för ett öppet spel; sparas aldrig	menus/CoFCoop.cpp:373
LAN only	Bara LAN	menus/CoFCoop.cpp:375
Only players on the local network can join	Bara spelare i det lokala nätverket kan ansluta	menus/CoFCoop.cpp:376
Difficulty	Svårighetsgrad	menus/CoFCoop.cpp:378
Nightmare appears once it is unlocked	Mardröm visas när den är upplåst	menus/CoFCoop.cpp:381
Most players, you included (four slots)	Flest spelare, du själv inräknad (fyra platser)	menus/CoFCoop.cpp:387
Lobby autostart (seconds)	Autostart i lobbyn (sekunder)	menus/CoFCoop.cpp:389
Start even if not all are ready; 0 = wait	Starta även om inte alla är redo; 0 = vänta	menus/CoFCoop.cpp:393
Auto respawn (seconds)	Automatisk återuppståndelse (sekunder)	menus/CoFCoop.cpp:395
Dead players come back after this long	Så lång tid tar det innan döda spelare kommer tillbaka	menus/CoFCoop.cpp:398
Start the server on this campaign	Starta servern med den här kampanjen	menus/CoFCoop.cpp:417
No co-op map is installed.	Ingen co-op-karta är installerad.	menus/CoFCoop.cpp:471
Join co-op	Anslut till co-op	menus/CoFCoop.cpp:659
JOIN CO-OP	ANSLUT TILL CO-OP	menus/CoFCoop.cpp:662
Server address	Serveradress	menus/CoFCoop.cpp:664
IP or host name, optionally :port	IP eller värdnamn, eventuellt med :port	menus/CoFCoop.cpp:666
Ask the host for their address. The default port is 27015; over the Internet the host has to forward UDP 27015 to their computer.	Be värden om adressen. Standardporten är 27015; över internet måste värden vidarebefordra UDP 27015 till sin dator.	menus/CoFCoop.cpp:675
LAN servers	LAN-servrar	menus/CoFCoop.cpp:685
Servers on the local network	Servrar i det lokala nätverket	menus/CoFCoop.cpp:685
Connect	Anslut	menus/CoFCoop.cpp:689
Connect to this address	Anslut till den här adressen	menus/CoFCoop.cpp:689
# options relayout (Game, Controls, Keybinds, Gamepad controls), 2026-09-23: machine-drafted like the rest, please review
Keybinds	Tangentbindningar	menus/Configuration.cpp:88
Pause on Inventory	Paus i inventariet	menus/AdvancedControls.cpp:778
Pause the game while the inventory, notes and other item pages are open	Pausar spelet medan inventariet, anteckningar och andra föremålssidor är öppna	menus/AdvancedControls.cpp:779
Transparent UI background	Genomskinlig UI-bakgrund	menus/AdvancedControls.cpp:783
Show the game world behind the inventory, notes and the tape recorder page instead of black	Visar spelvärlden bakom inventariet, anteckningar och bandspelarsidan i stället för svart	menus/AdvancedControls.cpp:784
KEYBINDS	TANGENTBINDNINGAR	menus/Controls.cpp:251
AIMING AND MOUSE	SIKTE OCH MUS	menus/CoFOptions.cpp:339
GAMEPAD	HANDKONTROLL	menus/CoFOptions.cpp:340
Enable gamepad	Aktivera handkontroll	menus/CoFOptions.cpp:362
Use a connected gamepad for moving, looking and the button actions	Använd en ansluten handkontroll för att röra dig, titta och knapparnas åtgärder	menus/CoFOptions.cpp:362
Invert look	Invertera blick	menus/CoFOptions.cpp:363
Push the look stick up to look down	Tryck siktspaken uppåt för att titta nedåt	menus/CoFOptions.cpp:363
Swap sticks	Byt spakar	menus/CoFOptions.cpp:365
Look with the left stick and move with the right stick	Titta med vänster spak och rör dig med höger	menus/CoFOptions.cpp:365
Look speed, horizontal	Blickhastighet, vågrätt	menus/CoFOptions.cpp:368
How fast the view turns with the look stick fully pushed, in degrees per second	Hur snabbt vyn vrids med siktspaken helt ute, i grader per sekund	menus/CoFOptions.cpp:369;menus/CoFOptions.cpp:372
Look speed, vertical	Blickhastighet, lodrätt	menus/CoFOptions.cpp:371
Look stick deadzone	Dödzon för siktspak	menus/CoFOptions.cpp:374
How far a stick has to move before it counts, in percent of its travel	Hur långt en spak måste röras innan det räknas, i procent av rörelsen	menus/CoFOptions.cpp:375;menus/CoFOptions.cpp:379
Move stick deadzone	Dödzon för rörelsespak	menus/CoFOptions.cpp:378
Trigger threshold	Avtryckartröskel	menus/CoFOptions.cpp:382
How far a trigger has to be pulled to count as pressed, in percent	Hur långt en avtryckare måste tryckas för att räknas som nedtryckt, i procent	menus/CoFOptions.cpp:383
FACE BUTTONS	HANDLINGSKNAPPAR	menus/CoFOptions.cpp:575
Cross	Kryss	menus/CoFOptions.cpp:576
Circle	Cirkel	menus/CoFOptions.cpp:577
Square	Fyrkant	menus/CoFOptions.cpp:578
Triangle	Triangel	menus/CoFOptions.cpp:579
SHOULDERS AND TRIGGERS	AXELKNAPPAR OCH AVTRYCKARE	menus/CoFOptions.cpp:580
LB	LB	menus/CoFOptions.cpp:581
RB	RB	menus/CoFOptions.cpp:582
LT	LT	menus/CoFOptions.cpp:583
RT	RT	menus/CoFOptions.cpp:584
STICKS	SPAKAR	menus/CoFOptions.cpp:585
Left stick click	Tryck vänster spak	menus/CoFOptions.cpp:586
Right stick click	Tryck höger spak	menus/CoFOptions.cpp:587
D-PAD	STYRKORS	menus/CoFOptions.cpp:588
D-pad up	Styrkors upp	menus/CoFOptions.cpp:589
D-pad down	Styrkors ned	menus/CoFOptions.cpp:590
D-pad left	Styrkors vänster	menus/CoFOptions.cpp:591
D-pad right	Styrkors höger	menus/CoFOptions.cpp:592
MENU BUTTONS	MENYKNAPPAR	menus/CoFOptions.cpp:593
Menu	Meny	menus/CoFOptions.cpp:594
View	Visa	menus/CoFOptions.cpp:595
Create	Create	menus/CoFOptions.cpp:595
Xbox	Xbox	menus/CoFOptions.cpp:679
PlayStation	PlayStation	menus/CoFOptions.cpp:679
Not bound	Inte tilldelad	menus/CoFOptions.cpp:786;menus/CoFOptions.cpp:973
Open the menu	Öppna menyn	menus/CoFOptions.cpp:994
Config key: %s	Namn i konfigurationen: %s	menus/CoFOptions.cpp:1065
The default key list has no gamepad buttons yet.	Standardlistan över tangenter har inga handkontrollsknappar ännu.	menus/CoFOptions.cpp:1217
GAMEPAD CONTROLS	HANDKONTROLLENS KNAPPAR	menus/CoFOptions.cpp:1275
Button	Knapp	menus/CoFOptions.cpp:1281
Action for the selected button	Åtgärd för vald knapp	menus/CoFOptions.cpp:1285
The action this button performs in the game	Åtgärden som den här knappen utför i spelet	menus/CoFOptions.cpp:1289
Button style	Knappstil	menus/CoFOptions.cpp:1292
Button names and pictures of an Xbox or a PlayStation controller	Knappnamn och bilder för en Xbox- eller PlayStation-handkontroll	menus/CoFOptions.cpp:1296
Pick a button, then its action below. Or press Enter on a button and then another gamepad button to swap the two.	Välj en knapp och sedan dess åtgärd nedan. Eller tryck Enter på en knapp och sedan en annan knapp på handkontrollen för att byta dem.	menus/CoFOptions.cpp:1310
Press the gamepad button to swap with this one	Tryck på knappen på handkontrollen som ska bytas med den här	menus/CoFOptions.cpp:1312
Reset every gamepad button to the default layout?	Återställa alla knappar på handkontrollen till standardlayouten?	menus/CoFOptions.cpp:1315
PRESS A BUTTON	TRYCK PÅ EN KNAPP	menus/CoFOptions.cpp:1349
# options relayout (Game, Controls, Keybinds, Gamepad controls), 2026-09-23: machine-drafted like the rest, please review
Select	Välj	controls/Framework.cpp:295
Tabs	Flikar	controls/Framework.cpp:303
Resume	Fortsätt	controls/Framework.cpp:313
Gamepad	Handkontroll	menus/CoFOptions.cpp:1610
Gyro aiming	Gyrosikte	menus/CoFOptions.cpp:404
Aim by tilting a pad that has a gyroscope	Sikta genom att luta en handkontroll med gyroskop	menus/CoFOptions.cpp:404
Gyro sensitivity	Gyrokänslighet	menus/CoFOptions.cpp:405
How far the view turns for a tilt of the pad	Hur mycket vyn vrids när handkontrollen lutas	menus/CoFOptions.cpp:406
In the menus: A confirm · B back · LB/RB tabs · X use defaults · Start resume	I menyerna: A bekräftar · B tillbaka · LB/RB flikar · X standard · Start fortsätt	menus/CoFOptions.cpp:1363
# options relayout (Game, Controls, Keybinds, Gamepad controls), 2026-09-23: machine-drafted like the rest, please review
Crouch (toggle)	Huka (växla)	model/KbActListModel.h:109;menus/CoFOptions.cpp:1042
# on-screen keyboard (menus/CoFOsk.cpp), 2026-09-23: machine-drafted like the rest, please review
KEYBOARD	TANGENTBORD	menus/CoFOsk.cpp
Caps	Caps	menus/CoFOsk.cpp
Shift	Shift	menus/CoFOsk.cpp
ABC	ABC	menus/CoFOsk.cpp
Space	Mellanslag	menus/CoFOsk.cpp
Type	Skriv	menus/CoFOsk.cpp
Clear	Rensa	menus/CoFOsk.cpp
Symbols	Symboler	menus/CoFOsk.cpp
