# Cry of Fear: Enhanced - Dutch strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review.
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\dutch.
english	translation	where
OVERWRITE SAVE	OPGESLAGEN SPEL OVERSCHRIJVEN	menus/LoadGame.cpp:498
SAVE GAME	SPEL OPSLAAN	menus/LoadGame.cpp:518
Cry of Fear uses five shared save slots. Turn on "Pause menu saves" in Options > Game to save from this menu.	Cry of Fear gebruikt vijf gedeelde plekken. Zet 'Opslaan vanuit pauzemenu' aan onder Opties > Spel om hier op te slaan.	menus/SaveLoad.cpp:79
Cry of Fear uses five shared save slots. Enable pause-menu saves to save from this menu.	Cry of Fear gebruikt vijf gedeelde plekken. Zet opslaan vanuit het pauzemenu aan om hier op te slaan.	menus/SaveLoad.cpp:81
During play, you can quickly save your game by pressing %s.\nLoad this game again by pressing %s.	Tijdens het spelen sla je snel op met %s.\nMet %s laad je dit spel weer.	menus/SaveLoad.cpp:84
SAVE / LOAD	OPSLAAN / LADEN	menus/SaveLoad.cpp:98
Select a saved game in the list below, then click 'Load game'.	Kies een opgeslagen spel in de lijst en klik op 'Spel laden'.	menus/SaveLoad.cpp:100;menus/SaveLoad.cpp:138
Select 'New Saved Game' in the list to create a new file, or select\na previously saved game to overwrite a file.	Kies 'Nieuw opgeslagen spel' voor een nieuw bestand, of kies\neen bestaand opgeslagen spel om het te overschrijven.	menus/SaveLoad.cpp:107;menus/SaveLoad.cpp:139
Enable pause-menu saves	Opslaan vanuit pauzemenu aanzetten	menus/SaveLoad.cpp:185;menus/SaveLoad.cpp:188
Invalid maxplayers value entered.\nPlease enter a value from 2 to %d.	Ongeldig aantal spelers.\nVoer een waarde van 2 tot %d in.	menus/CreateGame.cpp:122
< Random Map >	< Willekeurige map >	menus/CreateGame.cpp:181
Use NAT Bypass instead of direct mode	NAT-omzeiling gebruiken in plaats van direct verbinden	menus/CreateGame.cpp:221
HOST SERVER	SERVER HOSTEN	menus/CreateGame.cpp:226
Adv. Options	Geavanceerd	menus/CreateGame.cpp:231;menus/ConnectionWarning.cpp:69
START SERVER	SERVER STARTEN	menus/CreateGame.cpp:240
Map	Map	menus/CreateGame.cpp:249;menus/ServerBrowser.cpp:1214
Title	Titel	menus/CreateGame.cpp:250
Server name	Servernaam	menus/CreateGame.cpp:253
Max. Players:	Max. spelers:	menus/CreateGame.cpp:264
Password	Wachtwoord	menus/CreateGame.cpp:291;menus/ServerBrowser.cpp:1246
Starting a new game will exit any current game, OK to exit?	Een nieuw spel beëindigt het huidige. Doorgaan?	menus/CreateGame.cpp:303
Invalid protocol while generating dummy info string	Ongeldig protocol bij het maken van de servergegevens	menus/ServerBrowser.cpp:170
%.f ms	%.f ms	menus/ServerBrowser.cpp:520
any map	elke map	menus/ServerBrowser.cpp:684;menus/ServerBrowser.cpp:826;menus/ServerBrowser.cpp:1359
Favorite	Favoriet	menus/ServerBrowser.cpp:811;menus/ServerBrowser.cpp:1161;menus/ServerBrowser.cpp:1197
Unfavorite	Uit favorieten	menus/ServerBrowser.cpp:816
Invalid address	Ongeldig adres	menus/ServerBrowser.cpp:1052
Invalid protocol	Ongeldig protocol	menus/ServerBrowser.cpp:1067
Server already in favorites	Server staat al in de favorieten	menus/ServerBrowser.cpp:1079
JOIN SERVER	SERVER JOINEN	menus/ServerBrowser.cpp:1153
View game info	Spelinfo bekijken	menus/ServerBrowser.cpp:1162;menus/ServerBrowser.cpp:1196
Create Server	Server maken	menus/ServerBrowser.cpp:1164;menus/ServerBrowser.cpp:1186
Refresh	Vernieuwen	menus/ServerBrowser.cpp:1174;menus/ServerBrowser.cpp:1198
Add server	Server toevoegen	menus/ServerBrowser.cpp:1175;menus/ServerBrowser.cpp:1199
Join	Joinen	menus/ServerBrowser.cpp:1178
Join game	Spel joinen	menus/ServerBrowser.cpp:1183
Join a network game will exit any current game, OK to exit?	Een netwerkspel joinen beëindigt het huidige spel. Doorgaan?	menus/ServerBrowser.cpp:1204
Name	Naam	menus/ServerBrowser.cpp:1213
Players	Spelers	menus/ServerBrowser.cpp:1215
Ping	Ping	menus/ServerBrowser.cpp:1216
IP	IP	menus/ServerBrowser.cpp:1217
Direct	Direct	menus/ServerBrowser.cpp:1225
NAT	NAT	menus/ServerBrowser.cpp:1226
Favorites	Favorieten	menus/ServerBrowser.cpp:1227
History	Geschiedenis	menus/ServerBrowser.cpp:1228
Please enter a password	Voer een wachtwoord in	menus/ServerBrowser.cpp:1268
Enter server Internet address\n(e.g., 209.255.10.255:27015)	Voer het internetadres van de server in\n(bijv. 209.255.10.255:27015)	menus/ServerBrowser.cpp:1291
ping	ping	menus/ServerBrowser.cpp:1304
empty	leeg	menus/ServerBrowser.cpp:1321
not empty	niet leeg	menus/ServerBrowser.cpp:1322
any	alle	menus/ServerBrowser.cpp:1323;menus/ServerBrowser.cpp:1342
full	vol	menus/ServerBrowser.cpp:1340
not full	niet vol	menus/ServerBrowser.cpp:1341
%.f ms.	%.f ms.	menus/ServerInfo.cpp:261
Server hostname:	Servernaam:	menus/ServerInfo.cpp:394
Server IP address:	IP-adres server:	menus/ServerInfo.cpp:405
Server 'ping' time:	Ping server:	menus/ServerInfo.cpp:416
??? ms.	??? ms.	menus/ServerInfo.cpp:421
Player Name	Spelernaam	menus/ServerInfo.cpp:434
Kills	Kills	menus/ServerInfo.cpp:435
Server Rule	Serverregel	menus/ServerInfo.cpp:440
Value	Waarde	menus/ServerInfo.cpp:441
Precaching resources...	Bronnen laden...	menus/ConnectionProgress.cpp:59
Downloading %s \nfrom %s	%s downloaden \nvan %s	menus/ConnectionProgress.cpp:73
%d of %d %s	%d van %d %s	menus/ConnectionProgress.cpp:74
Starting local game server...	Lokale spelserver starten...	menus/ConnectionProgress.cpp:84;menus/ConnectionProgress.cpp:105;menus/ConnectionProgress.cpp:109
Establishing network connection to server...	Verbinding maken met de server...	menus/ConnectionProgress.cpp:90;menus/ConnectionProgress.cpp:114
Disconnected	Verbinding verbroken	menus/ConnectionProgress.cpp:197
Skip	Overslaan	menus/ConnectionProgress.cpp:248
Changing level on server	Server wisselt van map	menus/ConnectionProgress.cpp:390
Parsing server info...	Serverinfo lezen...	menus/ConnectionProgress.cpp:401
Normal internet connection	Normale internetverbinding	menus/ConnectionWarning.cpp:46
DSL or PPTP with limited packet size	DSL of PPTP met beperkte pakketgrootte	menus/ConnectionWarning.cpp:51
Slow connection mode (64kbps)	Trage verbinding (64 kbps)	menus/ConnectionWarning.cpp:56
Connection problem	Verbindingsprobleem	menus/ConnectionWarning.cpp:81
Too many lost packets while connecting!\nPlease select network settings	Te veel verloren pakketten bij het verbinden!\nKies je netwerkinstellingen	menus/ConnectionWarning.cpp:85
NOTICE	LET OP	controls/YesNoMessageBox.cpp:30;controls/MessageBox.cpp:25
CONFIRM	BEVESTIGEN	controls/YesNoMessageBox.cpp:30
Built-in touch actions	Ingebouwde aanraakacties	model/KbActListModel.h:246
Look (touchpad)	Kijken (touchpad)	model/KbActListModel.h:248
Move (joystick)	Bewegen (joystick)	model/KbActListModel.h:249
Move (centered joystick)	Bewegen (gecentreerde joystick)	model/KbActListModel.h:250
Move (D-Pad)	Bewegen (D-pad)	model/KbActListModel.h:251
Vertical wheel	Verticaal wiel	model/KbActListModel.h:252
Horizontal wheel	Horizontaal wiel	model/KbActListModel.h:253
CONTROLS - MOVEMENT	BESTURING - BEWEGING	gfx/shell/kb_act.lst:2
Move forward	Vooruit	gfx/shell/kb_act.lst:4
Move back	Achteruit	gfx/shell/kb_act.lst:5
Run left	Naar links	gfx/shell/kb_act.lst:6
Run right	Naar rechts	gfx/shell/kb_act.lst:7
Sprint	Sprinten	gfx/shell/kb_act.lst:8
Dodge	Ontwijken	gfx/shell/kb_act.lst:9
Jump	Springen	gfx/shell/kb_act.lst:10
Crouch	Bukken	gfx/shell/kb_act.lst:11
CONTROLS - WEAPONS/ITEMS	BESTURING - WAPENS/VOORWERPEN	gfx/shell/kb_act.lst:13
Pickup/Interact with items	Oppakken/Gebruiken	gfx/shell/kb_act.lst:15
Primary Attack	Primaire aanval	gfx/shell/kb_act.lst:16
Secondary Attack	Secundaire aanval	gfx/shell/kb_act.lst:17
Tertiary Attack	Richten (tertiaire aanval)	gfx/shell/kb_act.lst:18
Toggle weapon function	Wapenfunctie wisselen	gfx/shell/kb_act.lst:19
Reload	Herladen	gfx/shell/kb_act.lst:20
Inventory	Inventaris	gfx/shell/kb_act.lst:21
See current objective	Huidig doel bekijken	gfx/shell/kb_act.lst:22
Quick slot 1	Snelplek 1	gfx/shell/kb_act.lst:23
Quick slot 2	Snelplek 2	gfx/shell/kb_act.lst:24
Quick slot 3	Snelplek 3	gfx/shell/kb_act.lst:25
Flashlight (coop only)	Zaklamp (alleen co-op)	gfx/shell/kb_act.lst:26
CONTROLS - MISC	BESTURING - OVERIG	gfx/shell/kb_act.lst:28
Use voice chat (coop only)	Spraakchat (alleen co-op)	gfx/shell/kb_act.lst:30
Vote yes on votekick (coop only)	Stem voor eruit schoppen (alleen co-op)	gfx/shell/kb_act.lst:31
Vote no on votekick (coop only)	Stem tegen eruit schoppen (alleen co-op)	gfx/shell/kb_act.lst:32
Follow me! (coop only)	Volg mij! (alleen co-op)	gfx/shell/kb_act.lst:33
Help me! (coop only)	Help! (alleen co-op)	gfx/shell/kb_act.lst:34
Found something! (coop only)	Iets gevonden! (alleen co-op)	gfx/shell/kb_act.lst:35
Chat message	Chatbericht	gfx/shell/kb_act.lst:36
Take screenshot	Screenshot maken	gfx/shell/kb_act.lst:37
Pause game	Pauze	gfx/shell/kb_act.lst:38
Quit game	Spel afsluiten	gfx/shell/kb_act.lst:39
Pause Save (%s)	Pauze (%s)	engine/server/sv_save.c (title of a pause-menu save, in the Load list)
DISCONNECT	VERBREKEN	menus/Main.cpp:247
Leave the co-op game and return to the main menu?	Het co-opspel verlaten en terug naar het hoofdmenu?	menus/Main.cpp:249
Join a co-op game by address or on the local network	Een co-opspel joinen via adres of in het lokale netwerk	menus/Main.cpp:511
Host a co-op game: story, Manhunt or survival	Een co-opspel hosten: verhaal, Manhunt of overleven	menus/Main.cpp:516
Leave the co-op game and return to the main menu	Het co-opspel verlaten en terug naar het hoofdmenu	menus/Main.cpp:681
Player	Speler	menus/CoFCoop.cpp:175
Story co-op	Verhaal in co-op	menus/CoFCoop.cpp:207
Chapters 9 to 12, starting with "Where is Simon?".\nLobby: everyone gets ready, or the autostart time runs out.	Hoofdstuk 9 tot 12, vanaf 'Where is Simon?'.\nLobby: iedereen is klaar of de autostarttijd loopt af.	menus/CoFCoop.cpp:208
Manhunt	Manhunt	menus/CoFCoop.cpp:209
The Manhunt campaign, from "A new beginning" to the cabin.\nLobby: everyone gets ready, or the autostart time runs out.	De Manhunt-campagne, van 'A new beginning' tot de hut.\nLobby: iedereen is klaar of de autostarttijd loopt af.	menus/CoFCoop.cpp:210
Survival 1	Overleven 1	menus/CoFCoop.cpp:211
Survive for 30 minutes. No lobby: the game starts at once.\nThe next survival map follows.	Overleef 30 minuten. Geen lobby: het spel begint meteen.\nDaarna volgt de volgende overlevingsmap.	menus/CoFCoop.cpp:212;menus/CoFCoop.cpp:214;menus/CoFCoop.cpp:216
Survival 2	Overleven 2	menus/CoFCoop.cpp:213
Survival 3	Overleven 3	menus/CoFCoop.cpp:215
Survival 4	Overleven 4	menus/CoFCoop.cpp:217
Survive for 30 minutes. No lobby: the game starts at once.\nThe first survival map follows.	Overleef 30 minuten. Geen lobby: het spel begint meteen.\nDaarna volgt weer de eerste overlevingsmap.	menus/CoFCoop.cpp:218
Host co-op	Co-op hosten	menus/CoFCoop.cpp:346
HOST CO-OP	CO-OP HOSTEN	menus/CoFCoop.cpp:349
Your name	Je naam	menus/CoFCoop.cpp:362;menus/CoFCoop.cpp:668
Shown in the lobby and on the co-op player list	Zichtbaar in de lobby en in de co-op-spelerslijst	menus/CoFCoop.cpp:364;menus/CoFCoop.cpp:670
The name of this game in server lists	Naam van dit spel in serverlijsten	menus/CoFCoop.cpp:368
Empty for an open game; never saved	Leeg voor een open spel; wordt nooit opgeslagen	menus/CoFCoop.cpp:373
LAN only	Alleen LAN	menus/CoFCoop.cpp:375
Only players on the local network can join	Alleen spelers in het lokale netwerk kunnen joinen	menus/CoFCoop.cpp:376
Difficulty	Moeilijkheidsgraad	menus/CoFCoop.cpp:378
Nightmare appears once it is unlocked	Nachtmerrie verschijnt zodra het ontgrendeld is	menus/CoFCoop.cpp:381
Most players, you included (four slots)	Maximaal aantal spelers, jijzelf meegerekend (vier plekken)	menus/CoFCoop.cpp:387
Lobby autostart (seconds)	Autostart lobby (seconden)	menus/CoFCoop.cpp:389
Start even if not all are ready; 0 = wait	Starten ook als niet iedereen klaar is; 0 = wachten	menus/CoFCoop.cpp:393
Auto respawn (seconds)	Automatisch respawnen (seconden)	menus/CoFCoop.cpp:395
Dead players come back after this long	Na zoveel tijd komen dode spelers terug	menus/CoFCoop.cpp:398
Start the server on this campaign	De server met deze campagne starten	menus/CoFCoop.cpp:417
No co-op map is installed.	Er is geen co-opmap geïnstalleerd.	menus/CoFCoop.cpp:471
Join co-op	Co-op joinen	menus/CoFCoop.cpp:659
JOIN CO-OP	CO-OP JOINEN	menus/CoFCoop.cpp:662
Server address	Serveradres	menus/CoFCoop.cpp:664
IP or host name, optionally :port	IP of hostnaam, eventueel met :poort	menus/CoFCoop.cpp:666
Ask the host for their address. The default port is 27015; over the Internet the host has to forward UDP 27015 to their computer.	Vraag de host om zijn adres. De standaardpoort is 27015; via internet moet de host UDP 27015 doorsturen naar zijn computer.	menus/CoFCoop.cpp:675
LAN servers	LAN-servers	menus/CoFCoop.cpp:685
Servers on the local network	Servers in het lokale netwerk	menus/CoFCoop.cpp:685
Connect	Verbinden	menus/CoFCoop.cpp:689
Connect to this address	Met dit adres verbinden	menus/CoFCoop.cpp:689
# options relayout (Game, Controls, Keybinds, Gamepad controls), 2026-09-23: machine-drafted like the rest, please review
Keybinds	Toetsen	menus/Configuration.cpp:88
Pause on Inventory	Pauze in inventaris	menus/AdvancedControls.cpp:778
Pause the game while the inventory, notes and other item pages are open	Pauzeert het spel zolang de inventaris, notities en andere voorwerppagina's open zijn	menus/AdvancedControls.cpp:779
Transparent UI background	Transparante UI-achtergrond	menus/AdvancedControls.cpp:783
Show the game world behind the inventory, notes and the tape recorder page instead of black	Toont de spelwereld achter de inventaris, notities en de bandrecorderpagina in plaats van zwart	menus/AdvancedControls.cpp:784
KEYBINDS	TOETSEN	menus/Controls.cpp:251
AIMING AND MOUSE	RICHTEN EN MUIS	menus/CoFOptions.cpp:339
GAMEPAD	GAMEPAD	menus/CoFOptions.cpp:340
Enable gamepad	Gamepad inschakelen	menus/CoFOptions.cpp:362
Use a connected gamepad for moving, looking and the button actions	Gebruik een aangesloten gamepad voor lopen, rondkijken en de knopacties	menus/CoFOptions.cpp:362
Invert look	Kijken omkeren	menus/CoFOptions.cpp:363
Push the look stick up to look down	Duw de kijkstick omhoog om omlaag te kijken	menus/CoFOptions.cpp:363
Swap sticks	Sticks wisselen	menus/CoFOptions.cpp:365
Look with the left stick and move with the right stick	Kijken met de linkerstick en lopen met de rechterstick	menus/CoFOptions.cpp:365
Look speed, horizontal	Kijksnelheid, horizontaal	menus/CoFOptions.cpp:368
How fast the view turns with the look stick fully pushed, in degrees per second	Hoe snel het beeld draait met de kijkstick volledig ingedrukt, in graden per seconde	menus/CoFOptions.cpp:369;menus/CoFOptions.cpp:372
Look speed, vertical	Kijksnelheid, verticaal	menus/CoFOptions.cpp:371
Look stick deadzone	Dode zone kijkstick	menus/CoFOptions.cpp:374
How far a stick has to move before it counts, in percent of its travel	Hoe ver een stick moet bewegen voordat het telt, in procent van de slag	menus/CoFOptions.cpp:375;menus/CoFOptions.cpp:379
Move stick deadzone	Dode zone loopstick	menus/CoFOptions.cpp:378
Trigger threshold	Drempel triggers	menus/CoFOptions.cpp:382
How far a trigger has to be pulled to count as pressed, in percent	Hoe ver een trigger ingedrukt moet worden om als ingedrukt te tellen, in procent	menus/CoFOptions.cpp:383
FACE BUTTONS	ACTIEKNOPPEN	menus/CoFOptions.cpp:575
Cross	Kruis	menus/CoFOptions.cpp:576
Circle	Rondje	menus/CoFOptions.cpp:577
Square	Vierkant	menus/CoFOptions.cpp:578
Triangle	Driehoek	menus/CoFOptions.cpp:579
SHOULDERS AND TRIGGERS	SCHOUDERKNOPPEN EN TRIGGERS	menus/CoFOptions.cpp:580
LB	LB	menus/CoFOptions.cpp:581
RB	RB	menus/CoFOptions.cpp:582
LT	LT	menus/CoFOptions.cpp:583
RT	RT	menus/CoFOptions.cpp:584
STICKS	STICKS	menus/CoFOptions.cpp:585
Left stick click	Linkerstick indrukken	menus/CoFOptions.cpp:586
Right stick click	Rechterstick indrukken	menus/CoFOptions.cpp:587
D-PAD	D-PAD	menus/CoFOptions.cpp:588
D-pad up	D-pad omhoog	menus/CoFOptions.cpp:589
D-pad down	D-pad omlaag	menus/CoFOptions.cpp:590
D-pad left	D-pad links	menus/CoFOptions.cpp:591
D-pad right	D-pad rechts	menus/CoFOptions.cpp:592
MENU BUTTONS	MENUKNOPPEN	menus/CoFOptions.cpp:593
Menu	Menu	menus/CoFOptions.cpp:594
View	Weergave	menus/CoFOptions.cpp:595
Create	Create	menus/CoFOptions.cpp:595
Xbox	Xbox	menus/CoFOptions.cpp:679
PlayStation	PlayStation	menus/CoFOptions.cpp:679
Not bound	Niet toegewezen	menus/CoFOptions.cpp:786;menus/CoFOptions.cpp:973
Open the menu	Menu openen	menus/CoFOptions.cpp:994
Config key: %s	Naam in configuratie: %s	menus/CoFOptions.cpp:1065
The default key list has no gamepad buttons yet.	De standaardtoetsenlijst heeft nog geen gamepadknoppen.	menus/CoFOptions.cpp:1217
GAMEPAD CONTROLS	GAMEPADBESTURING	menus/CoFOptions.cpp:1275
Button	Knop	menus/CoFOptions.cpp:1281
Action for the selected button	Actie van de gekozen knop	menus/CoFOptions.cpp:1285
The action this button performs in the game	De actie die deze knop in het spel uitvoert	menus/CoFOptions.cpp:1289
Button style	Knopstijl	menus/CoFOptions.cpp:1292
Button names and pictures of an Xbox or a PlayStation controller	Knopnamen en afbeeldingen van een Xbox- of PlayStation-controller	menus/CoFOptions.cpp:1296
Pick a button, then its action below. Or press Enter on a button and then another gamepad button to swap the two.	Kies een knop en daaronder de actie. Of druk op Enter bij een knop en daarna op een andere gamepadknop om ze te wisselen.	menus/CoFOptions.cpp:1310
Press the gamepad button to swap with this one	Druk op de gamepadknop die met deze moet wisselen	menus/CoFOptions.cpp:1312
Reset every gamepad button to the default layout?	Alle gamepadknoppen terugzetten naar de standaardindeling?	menus/CoFOptions.cpp:1315
PRESS A BUTTON	DRUK OP EEN KNOP	menus/CoFOptions.cpp:1349
# options relayout (Game, Controls, Keybinds, Gamepad controls), 2026-09-23: machine-drafted like the rest, please review
Select	Kiezen	controls/Framework.cpp:295
Tabs	Tabbladen	controls/Framework.cpp:303
Resume	Hervatten	controls/Framework.cpp:313
Gamepad	Gamepad	menus/CoFOptions.cpp:1610
Gyro aiming	Gyro-richten	menus/CoFOptions.cpp:404
Aim by tilting a pad that has a gyroscope	Richten door een gamepad met gyroscoop te kantelen	menus/CoFOptions.cpp:404
Gyro sensitivity	Gyrogevoeligheid	menus/CoFOptions.cpp:405
How far the view turns for a tilt of the pad	Hoe ver het beeld draait bij het kantelen van de gamepad	menus/CoFOptions.cpp:406
In the menus: A confirm · B back · LB/RB tabs · X use defaults · Start resume	In menu's: A bevestigt · B terug · LB/RB tabbladen · X standaard · Start hervatten	menus/CoFOptions.cpp:1363
# options relayout (Game, Controls, Keybinds, Gamepad controls), 2026-09-23: machine-drafted like the rest, please review
Crouch (toggle)	Bukken (wisselen)	model/KbActListModel.h:109;menus/CoFOptions.cpp:1042
# on-screen keyboard (menus/CoFOsk.cpp), 2026-09-23: machine-drafted like the rest, please review
KEYBOARD	TOETSENBORD	menus/CoFOsk.cpp
Caps	Caps	menus/CoFOsk.cpp
Shift	Shift	menus/CoFOsk.cpp
ABC	ABC	menus/CoFOsk.cpp
Space	Spatie	menus/CoFOsk.cpp
Type	Typen	menus/CoFOsk.cpp
Clear	Wissen	menus/CoFOsk.cpp
Symbols	Symbolen	menus/CoFOsk.cpp
