# Cry of Fear: Enhanced - Polish strings of the menu (MainUI with the Cry of Fear theme).
# MACHINE-DRAFTED FOR REVIEW: written 2026-09-22 by an AI worker of this project, not by a
# translator; please review. Vocabulary follows the fan translation where the two overlap
# (Koszmar, Komentarz dewelopera, Książka Simona, Zamknij, Anuluj, Koniec gry, ...).
# Format: english <TAB> translation <TAB> where the English comes from; UTF-8; \n is a new line;
# printf conversions (%s %d %i ...) must stay, in the same order. A row whose translation
# equals the English changes nothing (kept so the check sees it as covered).
# List the English with scripts/polish/extract-menu-strings.ps1 -MainUI <tree>\3rdparty\mainui
# and check this file with the same script and -Pack languages\polish.
english	translation	where
New	Nowy	menus/LoadGame.cpp:323
[quick]	[szybki]	menus/LoadGame.cpp:394
[autosave]	[autozapis]	menus/LoadGame.cpp:396
Save	Zapis	menus/LoadGame.cpp:447;menus/LoadGame.cpp:475
Load	Wczytaj	menus/LoadGame.cpp:452
Delete	Usuń	menus/LoadGame.cpp:457
Time	Czas	menus/LoadGame.cpp:469;menus/ServerInfo.cpp:436
Elapsed Time	Czas gry	menus/LoadGame.cpp:471
Slot	Slot	menus/LoadGame.cpp:474
Date	Data	menus/LoadGame.cpp:476
Delete this saved game?	Usunąć ten zapis?	menus/LoadGame.cpp:483
Overwrite this saved game?	Nadpisać ten zapis?	menus/LoadGame.cpp:487
Overwrite	Nadpisz	menus/LoadGame.cpp:488
LOAD GAME	WCZYTAJ GRĘ	menus/LoadGame.cpp:496;menus/LoadGame.cpp:518
DELETE SAVE	USUŃ ZAPIS	menus/LoadGame.cpp:497
OVERWRITE SAVE	NADPISZ ZAPIS	menus/LoadGame.cpp:498
SAVE GAME	ZAPISZ GRĘ	menus/LoadGame.cpp:518
Cry of Fear uses five shared save slots. Turn on "Pause menu saves" in Options > Game to save from this menu.	Cry of Fear ma pięć wspólnych slotów zapisu. Aby zapisywać z tego menu, włącz „Zapis z menu pauzy” w Opcje > Gra.	menus/SaveLoad.cpp:79
Cry of Fear uses five shared save slots. Enable pause-menu saves to save from this menu.	Cry of Fear ma pięć wspólnych slotów zapisu. Aby zapisywać z tego menu, włącz zapis z menu pauzy.	menus/SaveLoad.cpp:81
During play, you can quickly save your game by pressing %s.\nLoad this game again by pressing %s.	W trakcie gry możesz szybko zapisać stan klawiszem %s.\nWczytasz go ponownie klawiszem %s.	menus/SaveLoad.cpp:84
SAVE / LOAD	ZAPIS / WCZYTYWANIE	menus/SaveLoad.cpp:98
Select a saved game in the list below, then click 'Load game'.	Wybierz zapis z listy poniżej i kliknij „Wczytaj grę”.	menus/SaveLoad.cpp:100;menus/SaveLoad.cpp:138
Select 'New Saved Game' in the list to create a new file, or select\na previously saved game to overwrite a file.	Wybierz „Nowy zapis”, aby utworzyć nowy plik, albo wybierz\nistniejący zapis, aby go nadpisać.	menus/SaveLoad.cpp:107;menus/SaveLoad.cpp:139
Enable pause-menu saves	Włącz zapis z menu pauzy	menus/SaveLoad.cpp:185;menus/SaveLoad.cpp:188
Invalid maxplayers value entered.\nPlease enter a value from 2 to %d.	Nieprawidłowa liczba graczy.\nPodaj wartość od 2 do %d.	menus/CreateGame.cpp:122
< Random Map >	< Losowa mapa >	menus/CreateGame.cpp:181
Use NAT Bypass instead of direct mode	Użyj obejścia NAT zamiast połączenia bezpośredniego	menus/CreateGame.cpp:221
HOST SERVER	ZAŁÓŻ SERWER	menus/CreateGame.cpp:226
Adv. Options	Zaawansowane	menus/CreateGame.cpp:231;menus/ConnectionWarning.cpp:69
START SERVER	URUCHOM SERWER	menus/CreateGame.cpp:240
Map	Mapa	menus/CreateGame.cpp:249;menus/ServerBrowser.cpp:1214
Title	Tytuł	menus/CreateGame.cpp:250
Server name	Nazwa serwera	menus/CreateGame.cpp:253
Max. Players:	Maks. graczy:	menus/CreateGame.cpp:264
Password	Hasło	menus/CreateGame.cpp:291;menus/ServerBrowser.cpp:1246
Starting a new game will exit any current game, OK to exit?	Nowa gra zakończy bieżącą rozgrywkę. Kontynuować?	menus/CreateGame.cpp:303
Invalid protocol while generating dummy info string	Nieprawidłowy protokół podczas tworzenia danych serwera	menus/ServerBrowser.cpp:170
%.f ms	%.f ms	menus/ServerBrowser.cpp:520
any map	dowolna mapa	menus/ServerBrowser.cpp:684;menus/ServerBrowser.cpp:826;menus/ServerBrowser.cpp:1359
Favorite	Dodaj do ulubionych	menus/ServerBrowser.cpp:811;menus/ServerBrowser.cpp:1161;menus/ServerBrowser.cpp:1197
Unfavorite	Usuń z ulubionych	menus/ServerBrowser.cpp:816
Invalid address	Nieprawidłowy adres	menus/ServerBrowser.cpp:1052
Invalid protocol	Nieprawidłowy protokół	menus/ServerBrowser.cpp:1067
Server already in favorites	Serwer jest już w ulubionych	menus/ServerBrowser.cpp:1079
JOIN SERVER	DOŁĄCZ DO SERWERA	menus/ServerBrowser.cpp:1153
View game info	Informacje o grze	menus/ServerBrowser.cpp:1162;menus/ServerBrowser.cpp:1196
Create Server	Załóż serwer	menus/ServerBrowser.cpp:1164;menus/ServerBrowser.cpp:1186
Refresh	Odśwież	menus/ServerBrowser.cpp:1174;menus/ServerBrowser.cpp:1198
Add server	Dodaj serwer	menus/ServerBrowser.cpp:1175;menus/ServerBrowser.cpp:1199
Join	Dołącz	menus/ServerBrowser.cpp:1178
Join game	Dołącz do gry	menus/ServerBrowser.cpp:1183
Join a network game will exit any current game, OK to exit?	Dołączenie do gry sieciowej zakończy bieżącą rozgrywkę. Kontynuować?	menus/ServerBrowser.cpp:1204
Name	Nazwa	menus/ServerBrowser.cpp:1213
Players	Gracze	menus/ServerBrowser.cpp:1215
Ping	Ping	menus/ServerBrowser.cpp:1216
IP	IP	menus/ServerBrowser.cpp:1217
Direct	Bezpośrednio	menus/ServerBrowser.cpp:1225
NAT	NAT	menus/ServerBrowser.cpp:1226
Favorites	Ulubione	menus/ServerBrowser.cpp:1227
History	Historia	menus/ServerBrowser.cpp:1228
Please enter a password	Podaj hasło	menus/ServerBrowser.cpp:1268
Enter server Internet address\n(e.g., 209.255.10.255:27015)	Podaj adres internetowy serwera\n(np. 209.255.10.255:27015)	menus/ServerBrowser.cpp:1291
ping	ping	menus/ServerBrowser.cpp:1304
empty	pusty	menus/ServerBrowser.cpp:1321
not empty	niepusty	menus/ServerBrowser.cpp:1322
any	dowolny	menus/ServerBrowser.cpp:1323;menus/ServerBrowser.cpp:1342
full	pełny	menus/ServerBrowser.cpp:1340
not full	niepełny	menus/ServerBrowser.cpp:1341
%.f ms.	%.f ms.	menus/ServerInfo.cpp:261
Server hostname:	Nazwa serwera:	menus/ServerInfo.cpp:394
Server IP address:	Adres IP serwera:	menus/ServerInfo.cpp:405
Server 'ping' time:	Ping serwera:	menus/ServerInfo.cpp:416
??? ms.	??? ms.	menus/ServerInfo.cpp:421
Player Name	Gracz	menus/ServerInfo.cpp:434
Kills	Zabójstwa	menus/ServerInfo.cpp:435
Server Rule	Reguła serwera	menus/ServerInfo.cpp:440
Value	Wartość	menus/ServerInfo.cpp:441
Precaching resources...	Wczytywanie zasobów...	menus/ConnectionProgress.cpp:59
Downloading %s \nfrom %s	Pobieranie %s \nz %s	menus/ConnectionProgress.cpp:73
%d of %d %s	%d z %d %s	menus/ConnectionProgress.cpp:74
Starting local game server...	Uruchamianie lokalnego serwera gry...	menus/ConnectionProgress.cpp:84;menus/ConnectionProgress.cpp:105;menus/ConnectionProgress.cpp:109
Establishing network connection to server...	Łączenie z serwerem...	menus/ConnectionProgress.cpp:90;menus/ConnectionProgress.cpp:114
Disconnected	Rozłączono	menus/ConnectionProgress.cpp:197
Skip	Pomiń	menus/ConnectionProgress.cpp:248
Changing level on server	Zmiana mapy na serwerze	menus/ConnectionProgress.cpp:390
Parsing server info...	Odczytywanie informacji o serwerze...	menus/ConnectionProgress.cpp:401
Normal internet connection	Zwykłe łącze internetowe	menus/ConnectionWarning.cpp:46
DSL or PPTP with limited packet size	DSL lub PPTP z ograniczonym rozmiarem pakietu	menus/ConnectionWarning.cpp:51
Slow connection mode (64kbps)	Tryb wolnego łącza (64 kb/s)	menus/ConnectionWarning.cpp:56
Connection problem	Problem z połączeniem	menus/ConnectionWarning.cpp:81
Too many lost packets while connecting!\nPlease select network settings	Za dużo utraconych pakietów podczas łączenia!\nWybierz ustawienia sieci	menus/ConnectionWarning.cpp:85
NOTICE	UWAGA	controls/YesNoMessageBox.cpp:30;controls/MessageBox.cpp:25
CONFIRM	POTWIERDZENIE	controls/YesNoMessageBox.cpp:30
Built-in touch actions	Wbudowane akcje dotykowe	model/KbActListModel.h:246
Look (touchpad)	Rozglądanie (touchpad)	model/KbActListModel.h:248
Move (joystick)	Ruch (joystick)	model/KbActListModel.h:249
Move (centered joystick)	Ruch (wyśrodkowany joystick)	model/KbActListModel.h:250
Move (D-Pad)	Ruch (krzyżak)	model/KbActListModel.h:251
Vertical wheel	Kółko pionowe	model/KbActListModel.h:252
Horizontal wheel	Kółko poziome	model/KbActListModel.h:253
CONTROLS - MOVEMENT	STEROWANIE - RUCH	gfx/shell/kb_act.lst:2
Move forward	Do przodu	gfx/shell/kb_act.lst:4
Move back	Do tyłu	gfx/shell/kb_act.lst:5
Run left	W lewo	gfx/shell/kb_act.lst:6
Run right	W prawo	gfx/shell/kb_act.lst:7
Sprint	Sprint	gfx/shell/kb_act.lst:8
Dodge	Unik	gfx/shell/kb_act.lst:9
Jump	Skok	gfx/shell/kb_act.lst:10
Crouch	Kucanie	gfx/shell/kb_act.lst:11
CONTROLS - WEAPONS/ITEMS	STEROWANIE - BROŃ/PRZEDMIOTY	gfx/shell/kb_act.lst:13
Pickup/Interact with items	Podnieś/użyj przedmiotu	gfx/shell/kb_act.lst:15
Primary Attack	Atak główny	gfx/shell/kb_act.lst:16
Secondary Attack	Atak dodatkowy	gfx/shell/kb_act.lst:17
Tertiary Attack	Celowanie (trzeci atak)	gfx/shell/kb_act.lst:18
Toggle weapon function	Przełącz funkcję broni	gfx/shell/kb_act.lst:19
Reload	Przeładuj	gfx/shell/kb_act.lst:20
Inventory	Ekwipunek	gfx/shell/kb_act.lst:21
See current objective	Pokaż bieżący cel	gfx/shell/kb_act.lst:22
Quick slot 1	Szybki slot 1	gfx/shell/kb_act.lst:23
Quick slot 2	Szybki slot 2	gfx/shell/kb_act.lst:24
Quick slot 3	Szybki slot 3	gfx/shell/kb_act.lst:25
Flashlight (coop only)	Latarka (tylko co-op)	gfx/shell/kb_act.lst:26
CONTROLS - MISC	STEROWANIE - RÓŻNE	gfx/shell/kb_act.lst:28
Use voice chat (coop only)	Czat głosowy (tylko co-op)	gfx/shell/kb_act.lst:30
Vote yes on votekick (coop only)	Głosuj za wyrzuceniem (tylko co-op)	gfx/shell/kb_act.lst:31
Vote no on votekick (coop only)	Głosuj przeciw wyrzuceniu (tylko co-op)	gfx/shell/kb_act.lst:32
Follow me! (coop only)	Za mną! (tylko co-op)	gfx/shell/kb_act.lst:33
Help me! (coop only)	Pomocy! (tylko co-op)	gfx/shell/kb_act.lst:34
Found something! (coop only)	Coś znalazłem! (tylko co-op)	gfx/shell/kb_act.lst:35
Chat message	Wiadomość na czacie	gfx/shell/kb_act.lst:36
Take screenshot	Zrzut ekranu	gfx/shell/kb_act.lst:37
Pause game	Pauza	gfx/shell/kb_act.lst:38
Quit game	Wyjdź z gry	gfx/shell/kb_act.lst:39
Pause Save (%s)	Zapis z pauzy (%s)	engine/server/sv_save.c (title of a pause-menu save, in the Load list)
DISCONNECT	ROZŁĄCZ	menus/Main.cpp:247
Leave the co-op game and return to the main menu?	Opuścić grę co-op i wrócić do menu głównego?	menus/Main.cpp:249
Join a co-op game by address or on the local network	Dołącz do gry co-op po adresie lub w sieci lokalnej	menus/Main.cpp:511
Host a co-op game: story, Manhunt or survival	Załóż grę co-op: fabuła, Manhunt lub przetrwanie	menus/Main.cpp:516
Leave the co-op game and return to the main menu	Opuść grę co-op i wróć do menu głównego	menus/Main.cpp:681
Player	Gracz	menus/CoFCoop.cpp:175
Story co-op	Fabuła co-op	menus/CoFCoop.cpp:207
Chapters 9 to 12, starting with "Where is Simon?".\nLobby: everyone gets ready, or the autostart time runs out.	Rozdziały od 9 do 12, od „Where is Simon?”.\nPoczekalnia: wszyscy zgłaszają gotowość albo mija czas autostartu.	menus/CoFCoop.cpp:208
Manhunt	Manhunt	menus/CoFCoop.cpp:209
The Manhunt campaign, from "A new beginning" to the cabin.\nLobby: everyone gets ready, or the autostart time runs out.	Kampania Manhunt, od „A new beginning” do chaty.\nPoczekalnia: wszyscy zgłaszają gotowość albo mija czas autostartu.	menus/CoFCoop.cpp:210
Survival 1	Przetrwanie 1	menus/CoFCoop.cpp:211
Survive for 30 minutes. No lobby: the game starts at once.\nThe next survival map follows.	Przetrwaj 30 minut. Bez poczekalni: gra rusza od razu.\nPotem następna mapa przetrwania.	menus/CoFCoop.cpp:212;menus/CoFCoop.cpp:214;menus/CoFCoop.cpp:216
Survival 2	Przetrwanie 2	menus/CoFCoop.cpp:213
Survival 3	Przetrwanie 3	menus/CoFCoop.cpp:215
Survival 4	Przetrwanie 4	menus/CoFCoop.cpp:217
Survive for 30 minutes. No lobby: the game starts at once.\nThe first survival map follows.	Przetrwaj 30 minut. Bez poczekalni: gra rusza od razu.\nPotem znów pierwsza mapa przetrwania.	menus/CoFCoop.cpp:218
Host co-op	Załóż co-op	menus/CoFCoop.cpp:346
HOST CO-OP	ZAŁÓŻ GRĘ CO-OP	menus/CoFCoop.cpp:349
Your name	Twoja nazwa	menus/CoFCoop.cpp:362;menus/CoFCoop.cpp:668
Shown in the lobby and on the co-op player list	Widoczna w poczekalni i na liście graczy co-op	menus/CoFCoop.cpp:364;menus/CoFCoop.cpp:670
The name of this game in server lists	Nazwa tej gry na listach serwerów	menus/CoFCoop.cpp:368
Empty for an open game; never saved	Puste dla otwartej gry; nigdy nie jest zapisywane	menus/CoFCoop.cpp:373
LAN only	Tylko LAN	menus/CoFCoop.cpp:375
Only players on the local network can join	Dołączyć mogą tylko gracze z sieci lokalnej	menus/CoFCoop.cpp:376
Difficulty	Poziom trudności	menus/CoFCoop.cpp:378
Nightmare appears once it is unlocked	Koszmar pojawi się po odblokowaniu	menus/CoFCoop.cpp:381
Most players, you included (four slots)	Najwięcej graczy, z tobą włącznie (cztery miejsca)	menus/CoFCoop.cpp:387
Lobby autostart (seconds)	Autostart poczekalni (sekundy)	menus/CoFCoop.cpp:389
Start even if not all are ready; 0 = wait	Start, nawet gdy nie wszyscy są gotowi; 0 = czekaj	menus/CoFCoop.cpp:393
Auto respawn (seconds)	Automatyczne odrodzenie (sekundy)	menus/CoFCoop.cpp:395
Dead players come back after this long	Po tylu sekundach polegli gracze wracają do gry	menus/CoFCoop.cpp:398
Start the server on this campaign	Uruchom serwer z tą kampanią	menus/CoFCoop.cpp:417
No co-op map is installed.	Nie zainstalowano żadnej mapy co-op.	menus/CoFCoop.cpp:471
Join co-op	Dołącz do co-op	menus/CoFCoop.cpp:659
JOIN CO-OP	DOŁĄCZ DO GRY CO-OP	menus/CoFCoop.cpp:662
Server address	Adres serwera	menus/CoFCoop.cpp:664
IP or host name, optionally :port	IP lub nazwa hosta, opcjonalnie :port	menus/CoFCoop.cpp:666
Ask the host for their address. The default port is 27015; over the Internet the host has to forward UDP 27015 to their computer.	Poproś gospodarza o adres. Domyślny port to 27015; przez internet gospodarz musi przekierować UDP 27015 na swój komputer.	menus/CoFCoop.cpp:675
LAN servers	Serwery LAN	menus/CoFCoop.cpp:685
Servers on the local network	Serwery w sieci lokalnej	menus/CoFCoop.cpp:685
Connect	Połącz	menus/CoFCoop.cpp:689
Connect to this address	Połącz z tym adresem	menus/CoFCoop.cpp:689
